fecha;sol;tmin;tmax;prec
08/01/2015;8;4;17;0
09/01/2015;9,1;4;17;0
10/01/2015;8,8;4;18;0
11/01/2015;8,8;5;19;0
12/01/2015;8,5;5;19;0
13/01/2015;8,3;5;19;0
14/01/2015;8,1;6;18;3
15/01/2015;8,3;5;17;3
16/01/2015;6,6;6;15;5,5
17/01/2015;6,4;5;15;13,5
18/01/2015;5,2;5;13;13
19/01/2015;5;4;12;12
20/01/2015;5,1;5;13;1
21/01/2015;6,6;4;13;1
22/01/2015;7,1;3;13;0
23/01/2015;8,8;3;15;0
24/01/2015;9,4;3;16;0
25/01/2015;9,4;3;17;0
26/01/2015;9,9;3;17;0
27/01/2015;9,4;3;18;0
28/01/2015;8,6;5;18;0
29/01/2015;7,8;6;18;0
30/01/2015;7,8;6;17;0
31/01/2015;6,3;6;16;0
01/02/2015;4,8;7;16;0,5
02/02/2015;5,6;6;15;0,5
03/02/2015;6,4;4;14;0,5
04/02/2015;6,2;4;14;0
05/02/2015;7;5;14;0
06/02/2015;8,9;3;14;0
07/02/2015;9;4;15;0
08/02/2015;7,1;5;15;0
09/02/2015;6,6;6;16;0
10/02/2015;6,9;6;17;0,5
11/02/2015;6;7;17;0,5
12/02/2015;5;7;17;1
13/02/2015;5,1;8;17;0
14/02/2015;3,9;8;17;0
15/02/2015;3,7;7;16;0
16/02/2015;4,6;7;17;0
17/02/2015;5,7;7;17;0
18/02/2015;7,5;6;17;0
19/02/2015;8,5;7;18;0
20/02/2015;9,4;6;18;0,5
21/02/2015;8,5;6;18;0,5
22/02/2015;8,5;6;18;0,5
23/02/2015;8,6;6;18;0
24/02/2015;9,6;5;19;0
25/02/2015;9,5;6;20;0
26/02/2015;10,5;6;20;0
27/02/2015;10,4;6;21;0
28/02/2015;10,4;7;22;0
01/03/2015;9,6;8;22;0
02/03/2015;9,3;9;22;0
03/03/2015;9,4;10;22;0
04/03/2015;9,6;10;22;0
05/03/2015;9,7;9;22;0
06/03/2015;10,6;8;23;0
07/03/2015;11,1;8;24;0
08/03/2015;11,2;7;25;0
09/03/2015;11,2;7;26;0
10/03/2015;11,1;7;26;0
11/03/2015;11;8;24;0
12/03/2015;10,4;8;24;0
13/03/2015;10,4;8;22;0
14/03/2015;10;7;21;0
15/03/2015;7,9;8;20;0
16/03/2015;6,8;7;19;4,5
17/03/2015;6,3;8;19;4,5
18/03/2015;4;9;18;7
19/03/2015;2,2;10;17;3
20/03/2015;2,6;10;17;3
21/03/2015;2,3;10;18;1
22/03/2015;2,2;9;17;2
23/03/2015;4,2;9;17;2,5
24/03/2015;5,6;8;18;2,5
25/03/2015;7,5;8;20;0,5
26/03/2015;9,4;8;22;0
27/03/2015;10,6;9;24;0
28/03/2015;11;9;27;0
29/03/2015;10,7;11;29;0
30/03/2015;10,1;12;31;0
31/03/2015;10;12;31;0
01/04/2015;9,9;12;30;0
02/04/2015;9,4;13;30;0
03/04/2015;10,4;13;29;0
04/04/2015;9,9;13;27;2,5
05/04/2015;9,9;13;26;2,5
06/04/2015;8,3;13;24;2,5
07/04/2015;7,4;13;23;1,5
08/04/2015;7,5;13;22;2,5
09/04/2015;6,9;12;22;2,5
10/04/2015;7;12;22;1
11/04/2015;8,7;11;24;0
12/04/2015;9,1;12;24;0
13/04/2015;7,6;13;24;0
14/04/2015;8,4;13;24;8,5
15/04/2015;8,1;13;25;8,5
16/04/2015;8,2;14;24;8
17/04/2015;9,4;13;24;0
18/04/2015;10,9;12;25;0
19/04/2015;10,9;12;26;0
20/04/2015;10,7;12;26;0
21/04/2015;10,5;12;26;0
22/04/2015;9,1;12;26;0
23/04/2015;7,5;13;25;0
24/04/2015;6,7;13;24;0
25/04/2015;6,2;13;23;1
26/04/2015;6,3;13;23;1
27/04/2015;7,7;13;24;1
28/04/2015;9,5;13;25;0
29/04/2015;11,2;12;27;0
30/04/2015;12,3;13;30;0
01/05/2015;11,4;14;31;0
02/05/2015;10,2;15;31;0
03/05/2015;9,9;15;30;0
04/05/2015;10,1;15;30;0
05/05/2015;10,3;14;29;0
06/05/2015;11;14;28;0
07/05/2015;12,3;13;30;0
08/05/2015;12,8;14;32;0
09/05/2015;12,8;14;33;0
10/05/2015;12,6;15;34;0
11/05/2015;12,6;16;37;0
12/05/2015;12,6;17;38;0
13/05/2015;12,6;16;37;0
14/05/2015;12,7;16;37;0
15/05/2015;13;16;36;0
16/05/2015;12,9;16;34;0
17/05/2015;13;16;32;0
18/05/2015;12,9;15;32;0
19/05/2015;12,2;15;31;0
20/05/2015;11,7;15;30;0
21/05/2015;11,9;15;30;0
